title,isbn,publish_date,publisher_copyright,category,series,source_row
ACTS 평가·인증·기록관리 시스템,979-11-24175-74-3,2026-08-14,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,5
ACTS 선교철학과 신앙정신,979-11-24175-61-3,2026-08-14,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,6
ACTS 재정·후원·투명경영 지침서,979-11-24175-73-6,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,7
ACTS 윤리·안전·위기관리 지침서,979-11-24175-72-9,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,8
ACTS 문화와 국제교류를 통한 선교,979-11-24175-71-2,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,9
ACTS 다음 세대를 위한 ACTS,979-11-24175-70-5,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,10
ACTS 디지털·온라인 선교교육,979-11-24175-69-9,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,11
ACTS 교육이 선교가 되다,979-11-24175-68-2,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,12
ACTS 스포츠와 무도가 선교가 되다,979-11-24175-67-5,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,13
ACTS 재능이 선교가 되다,979-11-24175-66-8,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,14
ACTS 사람을 세우는 선교,979-11-24175-65-1,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,15
선교사·지도자 훈련교범,979-11-24175-64-4,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,16
ACTS 국제선교 운영 매뉴얼,979-11-24175-63-7,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,17
ACTS 정관·조직·행정 운영지침,979-11-24175-62-0,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,18
ACTS MISSION ALLIANCE,979-11-24175-60-6,2026-08-13,(사)국제경찰무도연합회,ACTS·선교,ACTS Mission Series,19
DOUBLE CROSS,979-11-24175-59-0,2026-01-30,(사)국제경찰무도연합회,철학·에세이·기타,Knowledge & Humanities Series,20
특공무술 관장의 삶,979-11-24175-58-3,2026-01-19,(사)국제경찰무도연합회,경찰무도·무도교육,Police Martial Arts & Martial Education Series,21
무도인의 근기,979-11-24175-57-6,2025-12-30,(사)국제경찰무도연합회,경찰무도·무도교육,Police Martial Arts & Martial Education Series,22
"사람을 남기다, 문화를 잇다",979-11-24175-56-9,2025-12-30,(사)국제경찰무도연합회,철학·에세이·기타,Knowledge & Humanities Series,23
나는 아직도 걷고 있다,979-11-24175-55-2,2025-12-17,(사)국제경찰무도연합회,철학·에세이·기타,Knowledge & Humanities Series,24
경찰무도의 본질과 미래,979-11-24175-54-5,2025-12-05,(사)국제경찰무도연합회,경찰무도·무도교육,Police Martial Arts & Martial Education Series,25
위원회 구성 및 운영 전략 과정 교재,979-11-24175-53-8,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,26
운영 평가 & 개선 전략 과정,979-11-24175-52-1,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,27
안전·복지 정책 연계 과정,979-11-24175-51-4,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,28
사무총국 운영 실무 과정,979-11-24175-50-7,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,29
블록체인 인증 실무 전문가 과정,979-11-24175-49-1,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,30
디지털 자격증 발급 관리 과정,979-11-24175-48-4,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,31
도장(교육센터) 컨설팅 과정,979-11-24175-47-7,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,32
"대외협력(정부,기관) 과정",979-11-24175-46-0,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,33
다문화·환경·청소년 협력 리더 과정,979-11-24175-45-3,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,34
기획·예산관리 Specialist 과정 교재,979-11-24175-44-6,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,35
글로벌 자격관리 행정사 과정,979-11-24175-43-9,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,36
글로벌 인재 선발 시스템 과정,979-11-24175-42-2,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,37
글로벌 브랜드 전략 과정,979-11-24175-41-5,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,38
글로벌 네트워크 구축 과정,979-11-24175-40-8,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,39
규정·정관·시행세칙 제정 과정,979-11-24175-39-2,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,40
국제회의 운영 과정,979-11-24175-38-5,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,41
국제조직 리더십 마스터 과정,979-11-24175-37-8,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,42
국제정책 & 제도 이해 과정 교재,979-11-24175-36-1,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,43
국제 홍보 & 보도자료 작성 과정,979-11-24175-35-4,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,44
국제 행사 운영 전문가 과정,979-11-24175-34-7,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,45
국제 평가위원 자격 과정,979-11-24175-33-0,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,46
국제 자원봉사 코디네이터 과정,979-11-24175-32-3,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,47
국제 자격증 진위확인 시스템 과정,979-11-24175-31-6,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,48
국제 윤리지도자 과정,979-11-24175-30-9,2025-12-01,(사)국제경찰무도연합회,철학·에세이·기타,Knowledge & Humanities Series,49
국제 심사위원 자격 과정,979-11-24175-29-3,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,50
국제 교육운영 매니저 과정 교재,979-11-24175-28-6,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,51
국제 공익 프로젝트 운영 과정,979-11-24175-27-9,2025-12-01,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,52
국제 공문서 발급관리 실무 과정 교재,979-11-24175-26-2,2025-12-01,(사)국제경찰무도연합회,철학·에세이·기타,Knowledge & Humanities Series,53
교육기관 인증 심사 과정,979-11-24175-25-5,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,54
교육 품질관리(QA) 과정,979-11-24175-24-8,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,55
과정 기획 & 커리큘럼 디자인 과정,979-11-24175-23-1,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,56
공익 캠페인 기획 과정,979-11-24175-22-4,2025-12-01,(사)국제경찰무도연합회,조직운영·교육경영,Organization & Education Management Series,57
개인정보보호 & 인증보안 과정,979-11-24175-21-7,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,58
ICA 프리미엄 심사위원 인증 과정,979-11-24175-20-0,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,59
ICA 엘리트 지도자 등급 과정,979-11-24175-19-4,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,60
ICA 스타등급 평가 & 인증 과정,979-11-24175-18-7,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,61
ICA 블록체인 품질관리 과정,979-11-24175-17-0,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,62
ICA 국제 마스터 인증 과정,979-11-24175-16-3,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,63
ICA Special Honor(명예 인증) 과정,979-11-24175-15-6,2025-12-01,(사)국제경찰무도연합회,인증·자격·품질,Certification & Quality Series,64
인터뷰 & 영상 리포터 과정,979-11-24175-14-9,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,65
언론 윤리 & 미디어 법 과정,979-11-24175-13-2,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,66
미디어 리더십 & 데스크 과정 교재,979-11-24175-12-5,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,67
기사 작성 및 편집 과정,979-11-24175-11-8,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,68
글로벌 취재 리포팅 과정 교재,979-11-24175-10-1,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,69
국제 디지털 저널리즘 과정,979-11-24175-09-5,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,70
Global News24 기자 인증 과정,979-11-24175-08-8,2025-12-01,(사)국제경찰무도연합회,미디어·저널리즘,Global News24 Media Series,71
국가경찰무도의 철학과 비전,979-11-24175-07-1,2025-11-20,(사)국제경찰무도연합회,경찰무도·무도교육,Police Martial Arts & Martial Education Series,72
지속가능발전마스터,979-11-24175-06-4,2025-11-20,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,73
에코에너지마스터,979-11-24175-05-7,2025-11-20,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,74
스마트다문화교육마스터,979-11-24175-04-0,2025-11-20,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,75
세계시민리더마스터,979-11-24175-03-3,2025-11-20,(사)국제경찰무도연합회,글로벌리더십·다문화·공익,Global Leadership & Public Value Series,76
